A,B,C,D
1.0,34.0,46.05000000029802,607.0999999973178
2.0,14.0,51.030000000745055,267.00999999932947
3.0,5.0,56.009999999329445,114.25000001072884
4.0,2.0,61.08000000149011,63.32999999403953
5.0,19.0,66.32999999403954,352.2199999946356
6.0,24.0,71.25000001072884,437.34000001430513
7.0,17.0,76.03000000074506,318.1899999934435
8.0,36.0,81.19999999880791,641.0300000007451
9.0,11.0,86.35000000476838,216.13000000596045
10.0,2.0,91.21000000417233,63.05999999821186
11.0,10.0,96.08000000149012,199.07000000357627
12.0,1.0,101.12000000059605,46.26000000119209
13.0,13.0,106.23,250.32999999403953
14.0,1.0,110.98,46.070000003576276
15.0,33.0,116.35000000476838,590.2100000041723
16.0,4.0,121.23,97.2600000011921
17.0,4.0,126.28000001192093,97.32999999403954
18.0,33.0,131.28000001192092,590.310000013113
19.0,36.0,136.0800000014901,641.3400000143051
20.0,30.0,141.09999999731778,539.3699999856949
21.0,38.0,146.29999999284743,674.999999999553
22.0,25.0,151.07000000357627,454.0999999973178
23.0,13.0,156.21999999463557,250.01999999910592
24.0,20.0,161.1399999964237,369.10999999523165
25.0,3.0,166.26000000119208,79.98
26.0,6.0,171.1399999964237,131.09999999731778
27.0,29.0,176.1399999964237,522.2199999946356
28.0,35.0,181.1699999976158,624.0399999986589
29.0,17.0,186.26999999165534,318.0999999973178
30.0,23.0,191.13000000596045,420.25000001072885
31.0,11.0,196.35999999523162,216.35000000476836
32.0,8.0,201.21000000417231,165.32999999403953
33.0,38.0,206.18000000298022,675.089999999404
34.0,15.0,211.05999999821185,283.999999999553
35.0,14.0,216.18000000298022,267.15000000178816
36.0,12.0,221.26000000119208,233.32999999403953
37.0,17.0,226.1999999988079,318.2199999946356
38.0,15.0,231.01999999910592,284.29999999284746
39.0,4.0,236.13000000596045,96.99999999955297
40.0,28.0,241.29000000238418,505.31000001311304
41.0,5.0,245.98,114.15000000178814
42.0,26.0,251.29000000238418,471.35999999523165
43.0,6.0,255.99999999955295,131.18999999344348
44.0,6.0,261.1899999934435,131.26000000119208
45.0,19.0,266.26999999165537,352.089999999404
46.0,27.0,271.1899999934435,488.05000000029804
47.0,17.0,276.2900000023842,318.0599999982119
48.0,7.0,281.05000000029804,148.050000000298
49.0,3.0,286.29999999284746,80.32999999403954
50.0,17.0,291.10999999523165,318.01999999910595
51.0,26.0,296.10999999523165,471.2600000011921
52.0,25.0,302.0,453.999999999553
53.0,0.0,306.21000000417234,29.01999999910593
54.0,26.0,311.32999999403955,471.15000000178816
55.0,21.0,316.1999999988079,386.16999999761583
56.0,3.0,321.08000000149013,79.99999999955297
57.0,28.0,326.18000000298025,505.21000000417234
58.0,34.0,331.21000000417234,607.2900000023842
59.0,19.0,336.1899999934435,352.00999999932947
60.0,33.0,341.05000000029804,590.3400000143051
61.0,23.0,346.28000001192095,420.1300000059605
62.0,18.0,351.3500000047684,335.13999999642374
63.0,27.0,356.0700000035763,488.089999999404
64.0,34.0,361.21000000417234,607.1200000005961
65.0,11.0,366.05000000029804,216.18999999344348
66.0,35.0,371.2399999904633,624.1600000071526
67.0,21.0,376.2199999946356,386.1899999934435
68.0,9.0,381.089999999404,182.01999999910592
69.0,31.0,386.25000001072885,556.1200000005961
70.0,5.0,391.3699999856949,114.16999999761582
71.0,9.0,396.2399999904633,182.35999999523162
72.0,1.0,401.1600000071526,46.320000003576276
73.0,15.0,406.16999999761583,284.13999999642374
74.0,27.0,411.05000000029804,488.26999999165537
75.0,34.0,416.0599999982119,607.019999999106
76.0,26.0,421.25000001072885,471.0599999982119
77.0,2.0,426.26999999165537,63.23
78.0,31.0,430.98,556.310000013113
79.0,36.0,436.32999999403955,641.2399999904633
80.0,17.0,441.01999999910595,318.3500000047684
81.0,7.0,446.2600000011921,148.08999999940394
82.0,26.0,451.1600000071526,471.15000000178816
83.0,25.0,456.12000000059606,454.0399999986589
84.0,20.0,461.2900000023842,369.34000001430513
85.0,34.0,466.3200000035763,607.089999999404
86.0,19.0,471.01999999910595,352.12000000059606
87.0,2.0,476.0599999982119,63.320000003576276
88.0,24.0,481.089999999404,437.2600000011921
89.0,19.0,486.1300000059605,351.98
90.0,11.0,491.2600000011921,216.25000001072883
91.0,32.0,496.0700000035763,573.3699999856949
92.0,9.0,501.29999999284746,182.29999999284743
93.0,38.0,506.18000000298025,675.1399999964237
94.0,26.0,511.1899999934435,471.01999999910595
95.0,17.0,516.1300000059605,318.1899999934435
96.0,38.0,521.1800000029803,675.1800000029803
97.0,13.0,526.2199999946356,250.03999999865889
98.0,24.0,531.0099999993295,437.1300000059605
99.0,8.0,536.0999999973178,164.98999999977647
100.0,23.0,541.3200000035763,420.2900000023842
